ProductNumber,ProductArName,ProductEnName,BrandName,CounrtyEn,PackageVolume,UnitEn,manufactureenglishname,ListedNameEn
2016-0140114-026209,فورملا أكشن معجون أسنان, Formula Toothpaste Action Protector,Formula ,Indonesia,190,Gram (g),PEPPER SION PTE. LTD,SILVER PHOENIX TRADING .EST
2016-0140114-026236,فورملا سترونق معجون أسنان,Formula Toothpaste Strong,Formula ,Indonesia,65,Gram (g),PEPPER SION PTE. LTD,SILVER PHOENIX TRADING .EST
2016-0140114-026236,فورملا سترونق معجون أسنان,Formula Toothpaste Strong,Formula ,Indonesia,160,Gram (g),PEPPER SION PTE. LTD,SILVER PHOENIX TRADING .EST
2016-0140114-026237,فورملا كونفيدينت معجون أسنان,Formula Toothpaste Confident,Formula ,Indonesia,65,Gram (g),PEPPER SION PTE. LTD,SILVER PHOENIX TRADING .EST
2016-0140114-026237,فورملا كونفيدينت معجون أسنان,Formula Toothpaste Confident,Formula ,Indonesia,160,Gram (g),PEPPER SION PTE. LTD,SILVER PHOENIX TRADING .EST
2016-0140114-026239,فورملا سينسيتيف معجون أسنان,Formula Toothpaste Sensitive,Formula ,Indonesia,100,Gram (g),PEPPER SION PTE. LTD,SILVER PHOENIX TRADING .EST
2016-0140114-026272,سيميلي ماوث جل,Seemly Mouth Gel ,Seemly,Egypt,30,Gram (g),Egyptian Company for Cosmetic,life fragrant
2016-0140114-026314,مورملا سباركلينق وايت,Formula Toothpaste Sparkling White,Formula ,Indonesia,75,Gram (g),PEPPER SION PTE. LTD,SILVER PHOENIX TRADING .EST
2016-0140114-026314,مورملا سباركلينق وايت,Formula Toothpaste Sparkling White,Formula ,Indonesia,190,Gram (g),PEPPER SION PTE. LTD,SILVER PHOENIX TRADING .EST
2017-0140124-077999,دابر الأعشاب الليمون المبيض غسول الفم,Dabur Herb'l Lime Mouthwash Whitening,Dabur Herb'l,United Arab Emirates,250,Milliliter (ml),Naturelle LLc,ARAB TRADING -TAMER GROUP
2017-0140124-078000,دابر الأعشاب النيم غسول الفم,Dabur Herb'l Neem Mouthwash Antibacterial,Dabur Herb'l,United Arab Emirates,250,Milliliter (ml),Naturelle LLc,ARAB TRADING -TAMER GROUP
2017-0140114-078044,زيت القرنفل من هيماني,Hemani Clove  Oil,hemani,Pakistan,30,Milliliter (ml),HEMANI INTERNATIONAL PVT LTD,"abdalmoneim almarwani&sons,co,lid"
2017-0140124-078052,سانجر أوكلسيفا غسول للفم,Sangre Oclusiva Mouth Gargle,Sangre Oclusiva,India,150,Milliliter (ml),Themis Medicare,Alsawah drug store company
2017-02-005120,روكس معجون اسنان  للاطفال بطعم العلكة,ROCS Toothpaste with bubble gum flavor,ROCS,Russia,35,Milliliter (ml),DRC Global Ltd,Branch of Abdul Aziz Mesfer Al Asmary for Trading
2017-02-005120,روكس معجون اسنان للاطفال بطعم التوت والفراولة,ROCS with Raspberry & Strawberry,ROCS,Russia,35,Milliliter (ml),DRC Global Ltd,Branch of Abdul Aziz Mesfer Al Asmary for Trading
2017-0140114-054763,معجون أسنان سييملى ,Seemly Toothpaste ,Seemly ,Egypt,120,Gram (g),egyption co. for cosmetics,bait alhomaid trading est.
2017-014015401541-054771,جامي، جل اللثة والأسنان للكبار,"Gummy, Gel for adults gum and teeth",Gummy,Germany,30,Gram (g),Artefactum gmbh francois ,Bonn Healthcare
2017-0140114-054778,روكس معجون اسنان  ماجك وايتننج  بالحبيبات النشطة,ROCS Magic Whitening  with active granules,ROCS,Russia,60,Milliliter (ml),DRC Global Ltd,Branch of Abdul Aziz Mesfer Al Asmary for Trading
2017-0140124-078065,لاسير فلوريد غسول للفم,Lacer Fluor Mouthwash,Lacer,Spain,200,Milliliter (ml),"LACER, S.A",Thimar AlJazirah Company
2018-014015401541-114822,فالدينت مبيض ,valident whitening,valident,Germany,75,Milliliter (ml),Dental-Kosmetik GMBH &co.KG,serb alabagera
2018-0140124Code4-114975,لافون، عناية الاسنان، بخاخ الفم,"LAVON, TOOTH CARE, ORAL MOUTH SPRAY",LAVON,France,30,Milliliter (ml),ALPOL Cosmetique,"Chemical Company for Commercial Investment, Ltd."
2018-0140134Code6-114980,لافون، عناية الاسنان، دهن الأسنان,"LAVON, TOOTH CARE, ORAL TOOTH GLOSS",LAVON,France,20,Milliliter (ml),ALPOL Cosmetique,"Chemical Company for Commercial Investment, Ltd."
2016-0140114-026504,فورملا جونيور  معجون أسنان بنكهه الفراوله, Formula Junior Strawberry Toothpaste,Formula ,Indonesia,45,Gram (g),PEPPER SION PTE. LTD,SILVER PHOENIX TRADING .EST
2016-0140124-026568,أورال سي منعش للفم,oral c mouth freshener,oral c ,Jordan,350,Milliliter (ml),Al Anwaar Cosmetics,Points for Marketing EST
2019-0140114-149466,معجون أسنان كولجيت اوبتيك وايت الفوري,"Colgate Toothpaste OPTIC WHITE INSTANT, 75 ml",Colgate,Poland,75,Milliliter (ml),COLGATE-PALMOLIVE MANUFACTURING (POLAND) SPÖLKAZ,General Trading Company
2019-0140114-149486,معجون الأسنان كولجيت اوبتيك وايت (بياض ناصع),"Colgate Toothpaste Optic White, Sparkling White, 75 ml",Colgate,China,75,Milliliter (ml),Colgate Palmolive (China) Company Limited,General Trading Company
2019-0140114-149532,سيملي كيدز جيل توثبيست 50 مل,seemly kid's Gel Toothpaste 50 ml,seemly,Egypt,50,Milliliter (ml),Egyptian Company For Cosmetic,Sultan Ahmed Abdulkadir Eid General Contracting Es
2019-0140114-149533,سيملي بروتيكتينج سينسيتيفيتي فور تيث أند جام 50 مل,seemly protecting sensitivity for teeth and gum 50 ml,Seemly,Egypt,50,Milliliter (ml),Egyptian Company For Cosmetic,Sultan Ahmed Abdulkadir Eid General Contracting Es
2019-0140114-149543,سيملي ريبير أند بروتكت توثبيست 50مل,SEEMLY REPAIR AND PROTECT Toothpaste 50ml,SEEMLY,Egypt,50,Milliliter (ml),Egyptian Company For Cosmetic,Sultan Ahmed Abdulkadir Eid General Contracting Es
2019-0140124Code4-149549,وان دروب اونلي سبراي معطر للفم بطعم النعناع,ONE DROP ONLY MOUTH SPRAY,ONE DROP ONLY,Germany,15,Milliliter (ml),ONE DROP ONLY CHEM. PHARM. VERTRIEBS GMBH,Arabian Tihour Trading Est
2019-0140114-149555,سيملي ملتي كير & وايتينينق توثبيست 100 مل,SEEMLY Multicare & Whitening Toothpaste 100ml,SEEMLY,Egypt,100,Milliliter (ml),Egyptian Company For Cosmetic,Sultan Ahmed Abdulkadir Eid General Contracting Es
2019-02-016706,معجون أسنان للأطفال,Boots kids toothpaste 0-2yrs ,BOOTS,India,75,Milliliter (ml),the boots company plc,Tiryaq Al Shifa Co. Wll.
2019-02-016706,معجون أسنان للأطفال,Boots kids  toothpaste 6+yrs ,BOOTS,India,75,Milliliter (ml),the boots company plc,Tiryaq Al Shifa Co. Wll.
2019-02-016706,معجون أسنان للأطفال,Boots kids toothpaste 3-5yrs,BOOTS,India,75,Milliliter (ml),the boots company plc,Tiryaq Al Shifa Co. Wll.
2019-02-016706,معجون أسنان للأطفال,Boots kids toothpaste 3+yrs,BOOTS,India,75,Milliliter (ml),the boots company plc,Tiryaq Al Shifa Co. Wll.
2019-0140124-165993,بارودونتكس غسول فم اكسترا,Parodontax Mouthwash Extra,Parodontax,Germany,300,Milliliter (ml),Omega Pharma Manufacturing GmbH Co. KG,Glaxo Smithkline Saudi Limited
2019-0140114-166052,بارودونتكس معجون اسنان للتبييض ,Parodontax toothpaste Whitening,Parodontax,United Arab Emirates,75,Milliliter (ml),Gulf Center Cosmetics Manufacturing L.L.C.,Glaxo Smithkline Saudi Limited
2018-0140124-132541,آدمز آبل,Lush Adam's Apple Mouthwash,LUSH,United Kingdom,45,Gram (g),Lush Manufacturing Limited,Lush Mena Trading Est
2017-0140114-054918,ادمارك سبلينا كلوروفيل معجون اسنان,EDmark splina chlorophyll toothpaste,EDmark ,Malaysia,417,Milligram )mg(,fulian (M) Sdn.Bhd,Bana Medical Company
2017-0140114-054918,ادمارك سبلينا كلوروفيل معجون اسنان,EDmark splina chlorophyll toothpaste,EDmark ,Malaysia,139,Milligram )mg(,fulian (M) Sdn.Bhd,Bana Medical Company
2017-0140114-054936,روكس معجون اسنان للاطفال بطعم الايسكريم,ROCS kids toothpast with Ice cream flavor,ROCS,Russia,35,Milliliter (ml),DRC Global Ltd,Branch of Abdul Aziz Mesfer Al Asmary for Trading
2017-014015401541-054969,إن بي أف بلص جيل للفم والأسنان,NBF Plus ORAL & GINGIVAL GEL ,NBF,South Korea,30,Gram (g),"KM PHARMACEUTICAL CO.,LTD.",Medical and Pharmaceutical Services Co.
2017-0140114-055030,روكس احساس التبيض بالجزيئات النشطة,ROCS whitening sensation with active granules,ROCS,Russia,60,Milliliter (ml),DRC Global Ltd,Branch of Abdul Aziz Mesfer Al Asmary for Trading
2017-0140124-055032,بيزلَين محلول صمغ النحل، رائحة طبيعية من صمغ النحل,"Beesline Propolis Solution, Natural Fragrance from",بيزلين,Lebanon,10,Milliliter (ml),  Beesline International S.A.L,Medical and Pharmaceutical Services Co.
2017-0140114-055051,روكس بخلاصة زهرة الكرز البري معجون اسنان جل,ROCS Bloomin Sakura toothpaste gel,ROCS,Russia,60,Milliliter (ml),DRC Global Ltd,Branch of Abdul Aziz Mesfer Al Asmary for Trading
2017-0140124-055109,سانجر أوكلسيفا غسول للفم,Sangre Oclusiva Mouth Gargle,Sangre Oclusiva,India,150,Milliliter (ml),Themis Medicare,Alsawah drug store company
2017-0140114-078188,معجون أسنان كولجيت ناتشورال اكستراكتس بياض ناصع,Colgate Toothpaste Natural Extracts Pure White (As,Colgate,China,75,Milliliter (ml),Colgate Palmolive (China) Company Limited,General Trading Company
2017-0140114-078274,سبلات للصغار معجون اسنان طبيعى للصغار بطعم العلكه,SPLAT KIDS NATURAL TOOTHPASTE FOR KIDS BUBBLE GUM,SPLAT KIDS,Russia,55,Milliliter (ml),ORGANIC PHARMACEUTICALS,Arma Trading Est
2017-0140114-078275,سبلات معجون اسنان طبيعى للصغار كوكتيل التوت,SPLAT NATURAL TOOTHPASTE FOR KIDS BERRY COCKTAIL,SPLAT,Russia,55,Milliliter (ml),ORGANIC PHARMACEUTICALS,Arma Trading Est
2016-0140114-026656,كلوس اب معجون اسنان دايموند اتراكشن فريش وايت,close up toothpaste diamond attraction fresh white,CLOSE UP,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2016-0140114-026658,كلوس اب معجون اسنان دايموند اتراكشن فريش وايت,close up toothpaste Diamond attraction fresh white,CLOSE UP,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2016-0140114-026664,زنديوم معجون للاسنان الحساسة,Zendium toothpaste sensitive,zendium,France,75,Milliliter (ml),UNILEVER FRANCE HPCI,SAID MOHAMMED OBAID BINZAGR
2016-0140114-026888,فورملا جونير معجون أسنان بنكهه البرتقال, Formula Junior Orange Toothpas,Formula ,Indonesia,45,Gram (g),PEPPER SION PTE. LTD,SILVER PHOENIX TRADING .EST
2018-0140114-115080,معجون أسنان 75 مل,Strawberry Gel Toothpaste 75ml,Grosvenor Consumer Products Ltd.,China,75,Milliliter (ml),"Grosvenor Consumer Products,LTD",Organic Care Trading Est
2018-0140114-098290,مجموعة مستشفى السعودي الألماني معجون اسنان,GROUP Saudi German Hospitals TOOTHPASTE,GROUP Saudi German Hospitals,China,25,Gram (g),Yangzhou Safepure Daily Chemical Cleaning Products,ALKHALAF INVESTMENT GROUP
2018-0140134Code6-098317,شرائط فيرادينت سهلة الذوبان لتبييض الأسنان,Dissolving VeraDent Whitening Strips,VeraDent,United Kingdom,56,Piece,BioFilm Limited,Bonn Healthcare
2018-0140114-115176,سيجنال مبيض,SIGNAL Tooth Paste WHITENING ,Signal,Egypt,100,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2019-0140114-149764, B طقم الأسنان HSN,HSN DENTAL KIT B ,HSN ,China,10,Gram (g),YANGZHOU LUCKY TOURIST PRODUCTS FACTORY,MAHA MOOSA AL HAZAMI TRADING EST.
2017-0140114-055332,معجون أسنان كولجيت أقصي حماية ضد التسوس,Colgate Maximum Cavity Protection Toothpaste,Colgate,Thailand,25,Milliliter (ml),COLGATE-PALMOLIVE (THAILAND) LIMITED,General Trading Company
2017-0140114-078432,معجون أسنان كولجيت ناتشورال اكستراكتس العناية بالل,Colgate  Toothpaste Natural Extracts Gum Care (Lot,Colgate,China,75,Milliliter (ml),Colgate Palmolive (China) Company Limited,General Trading Company
2016-0140114-026923,أرماندحامر أدفانس وايت عناية كاملة 115غ,A&H Advance White Complete Care 115g,Arm & Hammer (A&H),United Kingdom,115,Gram (g),Church & Dwight UK Ltd,GULF TRADING CORP LTD
2016-0140114-026950,أرماندحامر أدفانس وايت للأسنان الحساسة 115غ,A&H Advance White for Sensitive Teeth 115g,Arm and Hammer (A&H),United Kingdom,115,Gram (g),Church & Dwight UK Ltd,GULF TRADING CORP LTD
2016-0140114-026957,معجون الأسنان الأبيض منتظم,Toothpaste White Regular Fluoride Toothpaste,American Natural,United States,17,Gram (g),American Natural Blend Products,TRUE QUALITY FOR MEDICAL SERVICES
2016-0140114-027049,سيجنال اطفال معجون اطفال فراولة,Signal Kids toothpaste Strawberry,signal kids,Egypt,75,Milliliter (ml),Unilever Mashreq for personal care,SAID MOHAMMED OBAID BINZAGR
2016-0140124-027079, بلكا المعالجة المثالية للأطفال أكبر من ستة سنوات,Bilka kids mouthwash homeopathy  6+,Bilka,Bulgaria,250,Milliliter (ml),BILKA LIFE STYLE LTD.,perfect purity
2018-0140124Code4-098388,هيفين كيوكسي ماوث اسبراي,HEAVEN CUXI MOUTH SPRAY,HEAVEN,Egypt,60,Milliliter (ml),Egyptian Company for Cosmetic,Saudi document management company
2018-0140124-098394,غسول التركيبة المتطورة للفم الطبيعي و المنعش,Advanced Formulation Mouth Wash Nature Fresh,Beauty Formulas,United Kingdom,500,Milliliter (ml),Drammock International Limlited,Hassan S. Al-Amoudi Trd. Est.
2018-0140114-098397,سنسوداين معجون أسنان حماية يومية,Sensodyne Toothpaste Daily Protection,Sensodyne,India,40,Gram (g),M/S Global Health Care Products,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2018-014015401541-115299,إلوجيل هلام فموي يسهام في للحفاظ على صحة الفم والاسنان منظف يساعد في تقليل لويحات الأسنان,ELUGEL ORAL GEL CONTRIBUTING TO ORAL DENTAL HYGIENE HELPS REDUCE DENTAL PLAQUE,ELUGEL,France,40,Milliliter (ml),PIERRE FABRE MEDICAMENT PRODUCTION,Farouk Maamoun Tamer & Co.
2017-0140124-055644,غسول فم كوربور سانو حماية منعشة,CORPORE SANO MOUTH WASH FRESH PROTECTION,CORPORE SANO,Spain,250,Milliliter (ml),PRODUCTOS BÚFALO S.A ,Mohammed Zaid Al Ashban & His Sons Company
2017-014015401541-078592,مرطب للشفاة ,Lip Balm Mix Berries,COOL&COOL,Germany,4,Gram (g),ABC International Limited,Jaaz Trading Est.
2017-0140114-078593,اوركس برو وايتينينج تيث ستريبس,Orex pro whitening  teeth strips,Orex pro,United Kingdom,56,Piece,BioFIlm Ltd,AlNahdi Medical Co
2017-04-003003,رويا فرش غسول للفم بنكهة النعناع ,Roya Fresh Mouth Refreshener Menthol Flavor,Roya Fresh,Egypt,150,Milliliter (ml),Royal Link Pharma,Alsarah Commercial est
2017-04-003003,رويا فرش غسول للفم بنكهة الراولة ,Roya Fresh Mouth Refreshener Strawberry Flavor,Roya Fresh,Egypt,150,Milliliter (ml),Royal Link Pharma,Alsarah Commercial est
2017-04-003004,رويا فرش غسول للفم بنكهة النعناع ,Roya Fresh Mouth Refreshener Menthol Flavor,Roya Fresh,Egypt,150,Milliliter (ml),Royal Link Pharma,Alsarah Commercial est
2017-04-003004,رويا فرش غسول للفم بنكهة الموز ,Roya Fresh Mouth Refreshener Banana Flavor,Roya Fresh,Egypt,150,Milliliter (ml),Royal Link Pharma,Alsarah Commercial est
2017-0140134Code6-078712,شراءط فيرادينت سهلة الذوبان لتبييض الأسنان,Dissolving VeraDent Whitening Strips,VeraDent,United Kingdom,56,Piece,BioFilm Limited,Bonn Healthcare
2017-0140124-078730,ال اتش اي ماوث واش ,LHE Mouth Wash,LHE,China,45,Milliliter (ml),Guangdong Songtaixing Cosmetics Industry Co.Ltd,Hassad Economic Contracting Establishment
2017-0140114-078753,سبلات بيبى معجون اسنان طبيعى فانيللا,SPLAT BABY NATURAL TOOTHPASTE  VANILLA,SPLAT BABY,Russia,40,Milliliter (ml),ORGANIC PHARMACEUTICALS,Arma Trading Est
2017-0140114-078826,بارودونتكس معجون اسنان انتعاش زائد   ,Parodontax toothpaste Extra Fresh,Parodontax,United Arab Emirates,75,Milliliter (ml),Gulf Center Cosmetics Manufacturing L.L.C.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2017-0140114-078828,بارودونتكس معجون اسنان فلورايد,Parodontax toothpaste Fluoride,Parodontax,United Arab Emirates,75,Milliliter (ml),Gulf Center Cosmetics Manufacturing L.L.C.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2017-0140114-078829,بارودونتكس معجون اسنان للتبييض ,Parodontax toothpaste Whitening,Parodontax,United Arab Emirates,75,Milliliter (ml),Gulf Center Cosmetics Manufacturing L.L.C.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2017-0140114-078830,بارودونتكس معجون اسنان الاصلي ,Parodontax toothpaste Original,Parodontax,United Arab Emirates,75,Milliliter (ml),Gulf Center Cosmetics Manufacturing L.L.C.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2019-0140114-150006,لاكولت معجون أسنان أكتيف ,lacalut tooth paste active ,Lacalut,Germany,75,Milliliter (ml),DR.THEISS NATURWAREN GMBH,Manayer Najd Trading & medical Needs co
2019-0140124-150087, غسول الفم كولجيت بلاكس فريش منت ( بالنعناع المنعش,Colgate Plax Fresh Mint (Menthe Fraiche),كولجيت,Thailand,250,Milliliter (ml),colgate palmolive,Nesmat Rawaya For Wholsale &Retail Trade
2019-0140114-150140,روكس معجون للأسنان الحساسة يرمم ويبيض,ROCS Sensitive Repair and Whitening Toothpaste,ROCS,Russia,94,Gram (g),DRC Global Ltd,Branch of Abdul Aziz Mesfer Al Asmary for Trading
2019-0140114-132845, فرشات مع معجون,Romance DENTAL KIT,Romance ,China,10,Gram (g),"Yangzhou New Lotus Plastic & Daily Chemicals Co., ",Ameen Naji Sultan Est.
2018-0140114-098611,مستشفى الروضه معجون الأسنان اخضر ,ARRAWDHA GENERAL Hospitals  TOOTHPASTE  GREEN ,ARRAWDHA GENERAL Hospitals  ,China,25,Gram (g),Yangzhou Safepure Daily Chemical Cleaning Products,ALKHALAF INVESTMENT GROUP
2018-0140114-098643,مستشفى الروضه معجون الأسنان ابيض ,ARRAWDHA GENERAL Hospitals  TOOTHPASTE  WHITE ,ARRAWDHA GENERAL Hospitals  ,China,25,Gram (g),Yangzhou Safepure Daily Chemical Cleaning Products,ALKHALAF INVESTMENT GROUP
2018-0140114-098645,مستشفى الروضه صابون ابيض ,ARRAWDHA GENERAL Hospitals SOAP WITHT,ARRAWDHA GENERAL Hospitals  ,Saudi Arabia,30,Gram (g),Yangzhou Safepure Daily Chemical Cleaning Products,ALKHALAF INVESTMENT GROUP
2018-0140114-098745,مستشفى الروضه معجون الأسنان أبيض ,ARRAWDHA GENERAL Hospitals TOOTHPASTE WHITE,ARRAWDHA GENERAL Hospitals  ,China,25,Gram (g),Yangzhou Safepure Daily Chemical Cleaning Products,ALKHALAF INVESTMENT GROUP
2018-0140124-098758,أورثوكير غسول الفم   ,ORTHOCARE MOUTH WASH,ORTHOCARE,Netherlands,300,Milliliter (ml),PrevDent International B.V.,MODERN SCIENTIFIC TRADING COMPANY
2017-0140114-055853,روكس معجون اسنان نعناع مضاعف,ROCS Toothpaste Double mint,ROCS,Russia,60,Milliliter (ml),DRC Global Ltd,Branch of Abdul Aziz Mesfer Al Asmary for Trading
2016-0140124Code4-027380,ثري شينيز بروربوليس لابوراتواريس أورال كير سبراي,3CHENES LABORATOIRES PROPOLIS ORAL CARE SPRAY,3CHENES LABORATOIRES,France,20,Milliliter (ml),Laboratoires les 3 chenes,sayhan company united for distribution locally and
2018-0140114-115526,بي يو ريسنج ستار ,BE YOU RISING STAR ,CURAPROX ,Switzerland,90,Milliliter (ml),CURADEN AG,alhamaed medical & trading company ltd
2018-0140114-115532,بي يو بيور هابينيس,BE YOU PURE HAPPINESS,CURAPROX,Switzerland,90,Milliliter (ml),CURADEN AG,alhamaed medical & trading company ltd
2018-0140114-115535,بي يو شالنجر ,BE YOU CHALLENGER ,CURAPROX,Switzerland,90,Milliliter (ml),CURADEN AG,alhamaed medical & trading company ltd
2018-0140114-115539,بي يو كاندي لوفر ,BE YOU CANDY LOVER ,CURAPROX ,Switzerland,90,Milliliter (ml),CURADEN AG,alhamaed medical & trading company ltd
2019-014015401541-166336,غم كير جل,Gum Care Gel,Aminodyne,United States,30,Milliliter (ml),Micro-Derm Labaratories Inc,Abdullah Ali Al Qahtani Est
2017-0140114-078877,اللولو معجون أسنان الاطفال الفاكهة,LuLu toothpaste kids fruity,LULU,Malaysia,75,Gram (g),Fulian (M) Sendirian Berhad,LULU SAUDI HYPERMARKET CO LTD
2017-0140114-078878,اللولو معجون أسنان الاطفال البرتقال,Lulu Toothpaste kids Orange,lulu,Malaysia,75,Gram (g),Fulian (M) Sendirian Berhad,LULU SAUDI HYPERMARKET CO LTD
2017-0140114-078929,لولو، معجون أسنان، الأطفال، الفراولة,Lulu Toothpaste kids Strawberry,LULU,Malaysia,75,Gram (g),Fulian (M) Sendirian Berhad,LULU SAUDI HYPERMARKET CO LTD
2017-0140134Code6-078969,سيلفر فيرادينت معجون تبييض الأسنان,SILVER VeraDent Whitening Toothpaste,VeraDent,South Korea,125,Milliliter (ml),Dongil Pharmaceutical Co. Ltd.,Bonn Healthcare
2017-0140124-078977,ال اتش اي ماوث واش,LHE Mouth Wash,LHE,China,45,Milliliter (ml),Yangzhou Lucky Tourist Products,Hassad Economic Contracting Establishment
2017-0140134Code6-078995,رمينراليزينج فيرادينت معجون تبييض الأسنان,REMINERALISING VeraDent Whitening Toothpaste,VeraDent,South Korea,80,Milliliter (ml),Dongil Pharmaceutical Co. Ltd.,Bonn Healthcare
2017-0140114-079003,بارودونتكس معجون اسنان نظافة فائقة,Parodonatax toothpaste Ultra Clean,Parodontax,United Arab Emirates,75,Milliliter (ml),Gulf Center Cosmetics Manufacturing L.L.C.,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2019-0140114-150216,ريحان لطب الاسنان,Rayhaan Dental Kit,Rayhaan Dental Kit,China,6,Gram (g),Yangzhou Olande Cosmetics Co. Ltd,Rasheed abdulaziz alrasheed printing press
2019-014015401541-150372,الفا فريش معطر الفم ,alpha fresh mouth spray,alpha,Turkey,20,Milliliter (ml),Alpha cosmetics & sterilizers,Ebdaa Alqadisiyah Trading Establishment
2016-0140124-027666,رانسين ماوث واش,Rinsin Mouth Wash,Rinsin,Egypt,120,Milliliter (ml),Egyption Company For Cosmetic,Mohra Olaythah Mohssen Al-Refaay Establishment
2016-0140114-027692, بانات وينكس كلوب تووث بيست,Banat toothpaste WINX club toothpaste,Banat,Bulgaria,47,Gram (g),STS HOLDİNG GROUP LTD.,AL-DAWAA Medical Services Co.Ltd
2016-0140114-027705,كي بي نامبوديريس معجون اسنان بالأعشاب ,K.P.NAMBOODIRI'S HERBAL TOOTHPASTE,K.P.NAMBOODIRI'S,India,125,Gram (g),Ramco Herbals Pvt Ltd,ALBAZIL SAUDI COMPANY LLC
2016-0140114-027705,كي بي نامبوديريس معجون اسنان بالأعشاب ,K.P.NAMBOODIRI'S HERBAL TOOTHPASTE,K.P.NAMBOODIRI'S,India,50,Gram (g),Ramco Herbals Pvt Ltd,ALBAZIL SAUDI COMPANY LLC
2019-0140114-133077,كلوس اب معجون اسنان ديب اكشن احمر حار 80 جرام,close up toothpaste deep action red hot 80 gram,CLOSE UP,India,80,Gram (g),Unilever India exports ltd. ,Baray Aljamal Establishment
2019-0140124Code4-150379,الفافريش معطر الفم ,alpha fresh mouth spray,alpha ,Turkey,20,Milliliter (ml),Alpha cosmetics & sterilizers,Ebdaa Alqadisiyah Trading Establishment
2017-0140114-079177,نوبي أول ناتيورال تودلار ترينينج توث بيست&توث براش,Nuby All Natural Toddler Training Toothpaste&Tooth,Nuby,Ireland,45,Gram (g),Europharma Concepts Ltd.,ALHILAL TRADING CO
2017-0140114-079183,معجون أسنان كولجيت برو-ريليف للأسنان الحساسة,Colgate Toothpaste Sensitive Pro Relief Instant Re,Colgate,Poland,75,Milliliter (ml),COLGATE-PALMOLIVE MANUFACTURING (POLAND) SPÖLKAZ,General Trading Company
2017-0140114-079287,اي مي توثبيست 10 جم ,A.ME toothpaste 10 g,A.ME,China,10,Gram (g),Yangzhou Lucky Tourist Products,Hassad Economic Contracting Establishment
2018-0140124-115618,سويس دنت غسول للفم ,Swissdent Extreme whitening mouthwash,Swissdent,Switzerland,300,Milliliter (ml),Swiss TS Technical Services AG,National Distribution
2018-0140114-115622,سويس دنت جينتل معجون اسنان للاسنان الحساسه,Swissdent gentile whitning toothpaste,Swissdent ,Switzerland,100,Milliliter (ml),Swiss TS Technical Services AG,National Distribution
2018-0140114-115622,سويس دنت جينتل معجون اسنان للاسنان الحساسه,Swissdent gentile whitning toothpaste,Swissdent ,Switzerland,50,Milliliter (ml),Swiss TS Technical Services AG,National Distribution
2018-0140114-115626,سويس دنت بيوكير معجون اسنان ,Swissdent biocare natural whitening toothpaste,Swissdent ,Switzerland,100,Milliliter (ml),Swiss TS Technical Services AG,National Distribution
2018-0140114-115626,سويس دنت بيوكير معجون اسنان ,Swissdent biocare natural whitening toothpaste,Swissdent ,Switzerland,50,Milliliter (ml),Swiss TS Technical Services AG,National Distribution
2018-0140114-115626,سويس دنت بيوكير معجون اسنان ,Swissdent biocare natural whitening toothpaste,Swissdent ,Switzerland,10,Milliliter (ml),Swiss TS Technical Services AG,National Distribution
2018-0140114-115753,معجون أسنان كولجيت مستخلصات طبيعية صحة اللثة وإنتعاش,"Colgate Toothpaste Natural Extracts Gum Health and Freshness (with ginseng extract and mint), 75 ml",Colgate,China,75,Milliliter (ml),Colgate Palmolive (China) Company Limited,General Trading Company
2019-0140114-166498,بيوكوتيرم معجون جيل للثة الحساسة بمياه الينابيع الحرارية,BUCCOTHERM SENSITIVE GUMS TOOHTPASTE GEL WITH THERMAL SPRINGWATER,®BUCCOTHERM,France,75,Milliliter (ml),Laboratory ODOST,Safwa AL-Shahd Est.
2019-0140124-166507,بوكوثيرم غسول الفم بمياه الينابيع الحرارية,BUCCOTHERM MOUTHWASH WITH THERMAL SPRING WATER,®BUCCOTHERM,France,300,Milliliter (ml),Laboratory ODOST,Safwa AL-Shahd Est.
2019-0140124Code4-166508,بوكوثيرم بخاخ للفم بمياه الينابيع الحرارية,BUCCOTHERM MOUTH SPRAY WITH THERMAL SPRINGWATER,®BUCCOTHERM,France,15,Milliliter (ml),Laboratory ODOST,Safwa AL-Shahd Est.
2019-0140114-166509,بوكوثيرم معجون جل للأطفال 7-12 سنة بمياه الينابيع الحرارية,BUCCOTHERM JUNIOR 7-12 YEARS TOOTH PAST GEL WITH THERMAL SPRING WATER,®BUCCOTHERM,France,50,Milliliter (ml),Laboratory ODOST,Safwa AL-Shahd Est.
